Entry,Identity,M+.,[M+H]+,CCS (Å2),Sourceb,Retention time (min)
484,"2,3,3',4',5,5'-Hexachlorodiphenyl Ether",375.8359,376.8437,179.26,Predicted,22.96
485,"2,3',4,4',5',6-Hexachlorodiphenyl Ether",375.8359,376.8437,177.04,Predicted,23.02
486,"2,3,3',4',5',6-Hexachlorodiphenyl Ether",375.8359,376.8437,174.25,Predicted,23.1
487,Di(2-ethylhexyl) phthalate,390.2765,391.2843,212.17,Measured,22.27
488,Di(n-octyl) phthalate,390.2765,391.2843,209.85,Predicted,22.43
489,Sucralose,396.0141,397.0219,179.16,Measured,23.44
490,2-[2-[2-[2-(4-Nonylphenoxy)ethoxy]ethoxy]ethoxy]ethanol,396.2871,397.2949,200.15,Predicted,26.02
491,Tris(2-butoxyethyl) phosphate,398.2428,399.2506,197.82,Measured,18.52
492,Perfluorohexane sulfonate,399.9434,400.9512,149.67,Measured,9.69
493,Octachloronaphthalene 75,403.7445,404.7523,172.27,Predicted,22.77
494,Endosulfan,405.8135,406.8213,175.48,Predicted,19.63
495,Amlodipin,408.1447,409.1525,189.77,Measured,18.34
496,"2,2',3,3',5,6,6'-Heptachlorodiphenyl Ether",409.7970,410.8048,180.33,Predicted,18.51
497,"2,2',3,4,4',5',6-Heptachlorodiphenyl Ether",409.7970,410.8048,180.66,Predicted,22.86
498,"2,2',3,4',5,5',6-Heptachlorodiphenyl Ether",409.7970,410.8048,182.72,Predicted,22.93
499,"2,3,3',4,4',5',6-Heptachlorodiphenyl Ether",409.7970,410.8048,180.39,Predicted,23.06
500,"2,3,3',4',5,5',6-Heptachlorodiphenyl Ether",409.7970,410.8048,183.91,Predicted,23.09
501,"2,2',3,4,4',6,6'-Heptachlorodiphenyl Ether",409.7970,410.8048,179.89,Predicted,23.15
502,"2,2',3,4,4',5,6-Heptachlorodiphenyl Ether",409.7970,410.8048,176.82,Predicted,23.15
503,"2,2',3,3',4,4',6-Heptachlorodiphenyl Ether",409.7970,410.8048,179.91,Predicted,23.2
504,"2,2',3,3',4',5,6-Heptachlorodiphenyl Ether",409.7970,410.8048,181.60,Predicted,23.24
505,"2,2',3,3',4,5',6-Heptachlorodiphenyl Ether",409.7970,410.8048,180.89,Predicted,23.27
506,"2,2',3,3',5,5',6-Heptachlorodiphenyl Ether",409.7970,410.8048,183.82,Predicted,23.3
507,"2,3,3',4,5,5',6-Heptachlorodiphenyl Ether",409.7970,410.8048,178.68,Predicted,23.31
508,"2,2',3,4,5,5',6-Heptachlorodiphenyl Ether",409.7970,410.8048,178.53,Predicted,23.33
509,"2,2',3,4,4',5,5'-Heptachlorodiphenyl Ether",409.7970,410.8048,183.56,Predicted,23.33
510,"2,3,3',4,4',5,5'-Heptachlorodiphenyl Ether",409.7970,410.8048,183.82,Predicted,23.35
511,"2,2',3,3',4,5,6-Heptachlorodiphenyl Ether",409.7970,410.8048,178.45,Predicted,23.41
512,"2,2',3,3',4,5,5',6,6'-Nonachlorodiphenyl ether",409.7970,410.8048,178.83,Predicted,23.41
513,"2,2',3,3',4,4',5-Heptachlorodiphenyl Ether",409.7970,410.8048,183.55,Predicted,23.5
514,"2,2',3,3',4,5,5'-Heptachlorodiphenyl Ether",409.7970,410.8048,184.87,Predicted,23.56
515,"2,2',3,4,4',5,6'-Heptachlorodiphenyl Ether",409.7970,410.8048,180.94,Predicted,23.62
516,"2,2',3,3',4,5,6'-Heptachlorodiphenyl Ether",409.7970,410.8048,178.33,Predicted,23.7
517,"2,3,3',4,4',5,6-Heptachlorodiphenyl Ether",409.7970,410.8048,179.74,Predicted,23.74
518,"2,2',3,4,5,6,6'-Heptachlorodiphenyl Ether",409.7970,410.8048,174.05,Predicted,23.84
519,Trixylyl phosphate,410.1642,411.1720,203.66,Measured,25.22
520,Diisononylphthalate,418.3078,419.3156,212.60,Predicted,23
521,Diisononyl phthalate,418.3078,419.3156,223.49,Measured,23.45
522,Bendroflumethiazide,421.0373,422.0451,188.60,Measured,23.19
523,"1,2,4,5-Tetrabromo-3,6-dimethylbenzene",421.7157,422.7235,167.99,Predicted,17.42
524,"4-(1,2-Dibromoethyl)-1,2-dibromocyclohexane ",427.7627,428.7705,169.31,Predicted,17.45
525,"1H,1H,2H,2H-Perfluorooctanesulfonate",427.9747,428.9825,168.23,Measured,7.91
526,"Tris(1,3-dichloro-2-propyl)phosphate",429.8805,430.8883,175.18,Measured,21.09
527,Tris(2-ethylhexyl)phosphate,434.3520,435.3598,220.38,Measured,22.03
528,"14-(Nonylphenoxy)-3,6,9,12-tetraoxatetradecan-1-ol",440.3133,441.3211,208.01,Predicted,27.11
529,"3,6,9,12-Tetraoxatetradecan-1-ol, 14-(4-nonylphenoxy)-",440.3133,441.3211,208.91,Predicted,27.96
530,Tetrabromo-o-chlorotoluene ,441.6609,442.6687,170.87,Predicted,23.45
531,Dodecamethylcyclohexasiloxane ,444.1123,445.1201,186.67,Predicted,11.48
532,Tetracycline,444.1528,445.1606,197.99,Predicted,33.12
533,"2,2',3,3',4,4',6,6'-Octachlorodiphenyl Ether",445.7551,446.7629,183.88,Predicted,24.35
534,"2,2',3,4,4',5,5',6-Octachlorodiphenyl Ether",445.7551,446.7629,183.00,Predicted,24.36
535,"2,2',3,3',4,5',6,6'-Octachlorodiphenyl Ether",445.7551,446.7629,187.46,Predicted,24.45
536,"2,2',3,3',5,5',6,6'-Octachlorodiphenyl Ether",445.7551,446.7629,189.12,Predicted,24.48
537,"2,2',3,3',4,4',5,5'-Octachlorodiphenyl Ether",445.7551,446.7629,189.10,Predicted,24.51
538,"2,3,3',4,4',5,5',6-Octachlorodiphenyl Ether",445.7551,446.7629,184.49,Predicted,24.52
539,"2,2',3,4,4',5,6,6'-Octachlorodiphenyl Ether",445.7551,446.7629,182.92,Predicted,24.64
540,"2,2',3,3',4,4',5,6-Octachlorodiphenyl Ether",445.7551,446.7629,182.54,Predicted,24.66
541,"2,2',3,3',4,5,5',6-Octachlorodiphenyl Ether",445.7551,446.7629,183.62,Predicted,24.72
542,"2,2',3,3',4,5,5',6'-Octachlorodiphenyl Ether",445.7551,446.7629,185.44,Predicted,24.73
543,"2,2',3,3',4,4',5,6'-Octachlorodiphenyl Ether",445.7551,446.7629,183.01,Predicted,24.79
544,"2,2',3,3',4,5,6,6'-Octachlorodiphenyl Ether",445.7551,446.7629,180.98,Predicted,24.87
545,Diisodecyl phthalate,446.3391,447.3469,227.85,Measured,24.41
546,"2-Bromoallyl-2,4,6-tribromophenyl ether",449.7107,450.7185,164.90,Predicted,18.39
547,2H-Hexadecafluoro-2-decenoic acid,457.9794,458.9872,172.63,Measured,7.57
548,Pentabromobenzene,471.5949,472.6027,170.78,Predicted,18.41
549,Diundecyl phthalate,474.3704,475.3782,230.76,Predicted,19.06
550,"2,2',3,3',4,4',5,6,6'-Nonachlorodiphenyl Ether",479.7161,480.7239,185.98,Predicted,25.79
551,"2,2',3,3',4,4',5,5',6-Nonachlorodiphenyl Ether",479.7161,480.7239,186.27,Predicted,25.83
552,"2,2',3,3',4,5,5',6,6'-Nonachlorodiphenyl Ether",479.7161,480.7239,188.84,Predicted,25.87
